Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
56,Master's,Technology,5,Urban,21,Married,Full-time,7,Own,Apartment,Male,Public transit,2.500738458832148
69,High School,Finance,0,Urban,4,Single,Full-time,7,Own,Apartment,Male,Biking,2.5040062317124083
46,Bachelor's,Technology,1,Urban,1,Single,Full-time,7,Own,Single-family home,Female,Car,2.4998715480617784
32,High School,Others,2,Urban,32,Married,Full-time,1,Own,Apartment,Female,Car,2.502978715480263
60,Bachelor's,Finance,3,Urban,15,Married,Self-employed,4,Own,Townhouse,Male,Walking,2.665111599294217
25,High School,Others,1,Rural,6,Single,Part-time,1,Rent,Townhouse,Female,Car,2.5017452955188664
38,Master's,Technology,3,Rural,20,Married,Full-time,4,Rent,Single-family home,Male,Public transit,2.778327929651244
56,Master's,Education,1,Suburban,34,Married,Part-time,7,Own,Townhouse,Female,Public transit,2.4979221796103173
36,Master's,Finance,4,Suburban,45,Married,Full-time,2,Own,Apartment,Female,Public transit,2.4974156939661794
40,Bachelor's,Education,4,Urban,21,Married,Full-time,6,Own,Apartment,Female,Biking,2.801047582278254
28,Bachelor's,Healthcare,4,Urban,50,Married,Full-time,5,Rent,Townhouse,Female,Car,2.49659345594601
28,Master's,Healthcare,2,Urban,47,Married,Full-time,2,Own,Single-family home,Female,Car,2.4939831210770764
41,Bachelor's,Technology,4,Rural,21,Married,Full-time,2,Own,Single-family home,Female,Car,2.83950159086154
70,High School,Technology,2,Suburban,5,Married,Part-time,4,Own,Apartment,Male,Public transit,2.440001126861038
53,Master's,Technology,0,Suburban,32,Married,Full-time,3,Rent,Single-family home,Female,Public transit,2.5023656249776485
57,Bachelor's,Healthcare,4,Rural,38,Married,Self-employed,6,Rent,Apartment,Male,Car,2.676687009570787
41,High School,Technology,2,Urban,42,Married,Full-time,7,Rent,Apartment,Male,Car,2.696427056455079
