loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti
7.783640596221253, 36 months,15.96,84.33,C,10+ years,RENT,9.413526083949446,Not Verified,Fully Paid,small_business,IL,8.72
9.210440366976517, 36 months,13.49,339.31,C,10+ years,RENT,10.803669227477098,Source Verified,Fully Paid,other,CA,20.0
8.006700845440367, 36 months,18.64,109.43,E,9 years,RENT,10.778977123006351,Source Verified,Fully Paid,car,CA,5.35
8.630700432209832, 60 months,21.28,152.39,F,4 years,OWN,10.596659732783579,Source Verified,Charged Off,small_business,CA,5.55
8.589699882202986, 60 months,12.69,121.45,B,< 1 year,RENT,9.61587214452889,Verified,Charged Off,other,TX,18.08
9.392745258631441, 36 months,12.69,402.54,B,10+ years,OWN,11.225256725762893,Source Verified,Fully Paid,debt_consolidation,CA,10.78
8.006700845440367, 36 months,9.91,96.68,B,3 years,RENT,9.61587214452889,Source Verified,Fully Paid,credit_card,IL,12.56
9.210440366976517, 36 months,10.65,325.74,B,3 years,RENT,11.51293546492023,Source Verified,Charged Off,other,CA,7.06
9.210440366976517, 36 months,15.27,347.98,C,4 years,RENT,10.645448706505872,Not Verified,Fully Paid,home_improvement,CA,18.6
9.127067452782361, 36 months,6.03,280.01,A,6 years,RENT,11.25656116466435,Not Verified,Fully Paid,debt_consolidation,CA,9.86
9.915959454031448, 60 months,15.27,484.63,C,3 years,RENT,10.677546293976553,Verified,Fully Paid,debt_consolidation,TX,26.53
9.952325334619427, 36 months,12.42,701.73,B,10+ years,RENT,11.561725152903833,Verified,Charged Off,debt_consolidation,FL,13.22
9.210440366976517, 36 months,11.71,330.76,B,10+ years,OWN,10.819798284210286,Source Verified,Fully Paid,credit_card,TX,11.18
9.210440366976517, 36 months,11.71,330.76,B,5 years,RENT,10.819798284210286,Not Verified,Fully Paid,debt_consolidation,CA,16.01
8.699681400989514, 36 months,11.71,198.46,B,1 year,RENT,11.23850177707664,Not Verified,Charged Off,major_purchase,CA,2.4
9.61587214452889, 36 months,9.91,483.38,B,2 years,MORTGAGE,11.429554725537322,Verified,Fully Paid,credit_card,IL,29.44
9.61587214452889, 36 months,14.27,514.64,C,9 years,RENT,11.002116507732017,Not Verified,Charged Off,debt_consolidation,NY,15.22
8.294299608857235, 36 months,11.71,132.31,B,10+ years,MORTGAGE,11.571203807011969,Not Verified,Fully Paid,debt_consolidation,FL,5.63
8.383890344101816, 36 months,7.51,136.11,A,7 years,MORTGAGE,9.747359919824648,Source Verified,Fully Paid,debt_consolidation,NY,20.34
10.36803884477013, 36 months,7.9,995.82,A,5 years,MORTGAGE,11.225256725762893,Verified,Fully Paid,debt_consolidation,NJ,14.03
9.210440366976517, 60 months,15.96,242.97,C,2 years,RENT,10.279214842380336,Verified,Fully Paid,debt_consolidation,FL,22.83
8.853808274977197, 36 months,15.96,245.97,C,7 years,RENT,10.434145214930487,Source Verified,Fully Paid,credit_card,CA,6.35
9.287394001418473, 36 months,9.91,348.03,B,2 years,RENT,10.925884521948419,Source Verified,Fully Paid,moving,nan,13.08
9.433563920090563, 60 months,12.69,282.44,B,1 year,RENT,10.203629181337648,Verified,Fully Paid,debt_consolidation,IL,16.04
9.392745258631441, 36 months,7.9,375.49,A,10+ years,RENT,11.03973275601109,Not Verified,Fully Paid,debt_consolidation,NJ,16.7
9.210440366976517, 36 months,10.65,325.74,B,6 years,RENT,10.203629181337648,Verified,Fully Paid,other,NY,11.47
9.61587214452889, 36 months,9.91,483.38,B,8 years,MORTGAGE,11.289794413577894,Not Verified,Charged Off,debt_consolidation,IL,9.12
10.150386692204734, 36 months,9.91,824.96,B,9 years,RENT,11.608244735642321,Verified,Fully Paid,credit_card,CA,15.71
8.853808274977197, 36 months,10.65,228.02,B,< 1 year,RENT,10.596659732783579,Not Verified,Fully Paid,debt_consolidation,CA,7.38
9.392745258631441, 36 months,15.96,421.65,C,4 years,RENT,10.819798284210286,Not Verified,Charged Off,car,CA,20.88
9.392745258631441, 36 months,9.91,386.7,B,1 year,RENT,10.736418414365376,Not Verified,Fully Paid,credit_card,TX,8.11
9.210440366976517, 36 months,10.65,325.74,B,2 years,RENT,10.847412906506923,Not Verified,Fully Paid,credit_card,TX,19.14
8.867990898182093, 36 months,16.77,252.33,D,1 year,MORTGAGE,10.404293143019792,Verified,Fully Paid,debt_consolidation,TX,24.0
9.472781556562168, 60 months,12.69,293.74,B,< 1 year,MORTGAGE,10.308985993422082,Source Verified,Fully Paid,debt_consolidation,NJ,13.72
9.770013301136158, 60 months,17.27,223.74,D,6 years,RENT,10.596659732783579,Verified,Fully Paid,small_business,CA,19.47
9.706620724300137, 36 months,14.27,563.53,C,4 years,RENT,10.704255193154744,Source Verified,Fully Paid,debt_consolidation,CA,22.71
9.012011377036412, 60 months,21.28,223.14,F,4 years,RENT,11.225256725762893,Source Verified,Charged Off,small_business,CA,12.48
9.61587214452889, 36 months,14.65,517.42,C,2 years,OWN,11.0186455364637,Verified,Fully Paid,credit_card,FL,11.88
8.764209507142004, 36 months,16.77,227.45,D,5 years,RENT,11.225256725762893,Not Verified,Charged Off,debt_consolidation,CA,20.22
9.575052927597383, 36 months,8.9,457.25,A,< 1 year,OWN,11.918397239722838,Source Verified,Fully Paid,debt_consolidation,NY,14.85
9.392745258631441, 36 months,14.65,413.94,C,10+ years,RENT,11.407576060361786,Not Verified,Fully Paid,debt_consolidation,NJ,16.56
9.305741456739435, 36 months,13.49,373.24,C,10+ years,MORTGAGE,10.778977123006351,Verified,Fully Paid,debt_consolidation,TX,21.82
8.888894669371593, 60 months,21.67,197.51,F,< 1 year,RENT,11.225256725762893,Verified,Fully Paid,debt_consolidation,CA,24.82
9.61587214452889, 36 months,7.9,469.36,A,1 year,MORTGAGE,10.859018228147887,Not Verified,Fully Paid,small_business,TX,9.65
9.798182590890704, 60 months,19.91,475.99,E,10+ years,MORTGAGE,11.082157933374816,Not Verified,Fully Paid,debt_consolidation,FL,6.81
10.463131911491967, 60 months,17.27,551.84,D,3 years,MORTGAGE,11.918397239722838,Verified,Fully Paid,home_improvement,NY,7.51
9.375939552625749, 36 months,12.69,395.83,B,6 years,RENT,10.645448706505872,Source Verified,Fully Paid,credit_card,NY,9.86
8.412054873292933, 36 months,6.03,136.96,A,4 years,RENT,10.87806606028079,Source Verified,Fully Paid,major_purchase,CA,4.44
8.853808274977197, 36 months,12.69,234.82,B,10+ years,RENT,10.463131911491967,Source Verified,Fully Paid,credit_card,CA,11.35
9.127067452782361, 36 months,12.42,307.43,B,2 years,RENT,11.002116507732017,Source Verified,Fully Paid,debt_consolidation,CA,19.96
8.412054873292933, 60 months,10.65,97.06,B,< 1 year,MORTGAGE,10.645448706505872,Source Verified,Fully Paid,car,TX,5.4
9.392745258631441, 36 months,13.49,407.17,C,4 years,RENT,11.184435286790631,Source Verified,Fully Paid,debt_consolidation,CA,21.33
9.392745258631441, 36 months,10.65,390.88,B,< 1 year,RENT,11.034905792929415,Verified,Fully Paid,credit_card,TX,23.94
9.012011377036412, 60 months,19.42,214.62,E,3 years,RENT,11.695255355062795,Source Verified,Fully Paid,debt_consolidation,NY,2.8
9.259225769705994, 36 months,12.69,352.23,B,10+ years,RENT,11.097425172408931,Verified,Fully Paid,medical,CA,20.73
8.853808274977197, 36 months,11.71,231.54,B,4 years,OWN,10.57441468619423,Not Verified,Fully Paid,debt_consolidation,FL,21.01
8.160803920954665, 36 months,6.03,106.53,A,10+ years,MORTGAGE,11.326607934898927,Verified,Fully Paid,car,IL,2.31
8.732465848349879, 36 months,9.91,199.8,B,2 years,RENT,10.12667110305036,Not Verified,Charged Off,debt_consolidation,CA,20.64
8.699681400989514, 36 months,8.9,190.52,A,8 years,OWN,10.268165387743457,Not Verified,Fully Paid,debt_consolidation,NJ,13.17
8.881975184248867, 36 months,9.91,232.02,B,6 years,RENT,11.813037464800539,Not Verified,Fully Paid,credit_card,NY,6.12
9.15915233520675, 36 months,8.9,301.66,A,7 years,MORTGAGE,10.819798284210286,Not Verified,Fully Paid,credit_card,TX,8.18
9.842994172107165, 60 months,16.77,465.53,D,10+ years,RENT,10.545367754151743,Verified,Charged Off,debt_consolidation,TX,23.18
10.085850775128717, 36 months,10.65,781.76,B,10+ years,RENT,10.714439990727769,Verified,Fully Paid,debt_consolidation,CA,14.8
8.699681400989514, 36 months,13.49,203.59,C,10+ years,RENT,11.289794413577894,Not Verified,Fully Paid,debt_consolidation,CA,11.58
