index,loan_amnt,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,revol_util,application_type,pub_rec_bankruptcies
1,2.172890968199372,36,15.96,84.33,C,nan,10+ years,RENT,9.413526083949446,Not Verified,Fully Paid,s,small_business,IL,8.72,0.0,98.5,Individual,0.0
2,2.3234107621942104,36,13.49,339.31,C,AIR RESOURCES BOARD,10+ years,RENT,10.803669227477098,Source Verified,Fully Paid,s,other,CA,20.0,0.0,21.0,Individual,0.0
3,2.1979688386872795,36,18.64,109.43,E,MKC Accounting,9 years,RENT,10.778977123006351,Source Verified,Fully Paid,s,car,CA,5.35,0.0,87.5,Individual,0.0
4,2.264955957558561,60,21.28,152.39,F,nan,4 years,OWN,10.596659732783579,Source Verified,Charged Off,s,small_business,CA,5.55,0.0,32.6,Individual,0.0
5,2.260689593536308,60,12.69,121.45,B,Starbucks,< 1 year,RENT,9.61587214452889,Verified,Charged Off,s,other,TX,18.08,0.0,36.5,Individual,0.0
6,2.341107991445833,36,12.69,402.54,B,UCLA,10+ years,OWN,11.225256725762893,Source Verified,Fully Paid,s,debt_consolidation,CA,10.78,0.0,67.1,Individual,0.0
7,2.1979688386872795,36,9.91,96.68,B,Target,3 years,RENT,9.61587214452889,Source Verified,Fully Paid,s,credit_card,IL,12.56,0.0,43.1,Individual,0.0
8,2.3234107621942104,36,10.65,325.74,B,SFMTA,3 years,RENT,11.51293546492023,Source Verified,Charged Off,s,other,CA,7.06,0.0,55.5,Individual,0.0
9,2.3234107621942104,36,15.27,347.98,C,Chin's Restaurant,4 years,RENT,10.645448706505872,Not Verified,Fully Paid,s,home_improvement,CA,18.6,0.0,70.2,Individual,0.0
10,2.3152117850154705,36,6.03,280.01,A,Network Interpreting Service,6 years,RENT,11.25656116466435,Not Verified,Fully Paid,s,debt_consolidation,CA,9.86,0.0,23.1,Individual,0.0
